jira_id,affected versions,fixed version,commit date,created,resolution date
2020-11-25T15:29:45Z,492f2807adcae9ce24ebaaab51cb3c0b934cbea8,SYNCOPE-1604,2020-11-25T15:37:34.000+0000,[2.1.7],[2.1.8  3.0.0],2020-11-24T16:35:21.000+0000
2020-11-19T13:47:36Z,a9386fcadee463d08037a6383d294b959a8c92f8,SYNCOPE-1603,2020-11-19T14:14:00.000+0000,[2.1.7],[2.1.8  3.0.0],2020-11-19T13:42:31.000+0000
2020-11-18T16:23:07Z,61a03446a8416e281ea23082e75852edb30b3d6a,SYNCOPE-1602,2020-11-18T16:33:19.000+0000,[2.1.7],[2.1.8  3.0.0],2020-11-18T15:53:34.000+0000
2020-11-17T15:13:33Z,021fdb0f16c720a688479c90330f6f27c8a4bf2a,SYNCOPE-1601,2020-11-17T15:15:59.000+0000,[2.1.7],[2.1.8  3.0.0],2020-11-17T14:38:32.000+0000
2020-11-05T11:14:19Z,501375b0f8b2d060e86539ef629d66bcf2e79aa3,SYNCOPE-1598,2020-11-05T11:18:10.000+0000,[2.0.16  2.1.7],[2.1.8  3.0.0],2020-11-05T09:52:35.000+0000
2020-10-26T12:45:28Z,48f89ac65431634cb0176d432daa15fbda1f8997,SYNCOPE-1596,2020-10-26T12:53:20.000+0000,[2.1.7],[2.1.8],2020-10-26T12:31:38.000+0000
2020-09-08T10:48:41Z,0ed3b04721651066eaff3b74fed365d7900427b4,SYNCOPE-1586,2020-09-08T10:50:29.000+0000,[2.1.6],[2.1.7  3.0.0],2020-09-08T07:27:07.000+0000
2020-07-22T07:46:23Z,b96970ce7c3511d990b6a0ca7e871ff21e156ce3,SYNCOPE-1583,2020-07-22T08:09:14.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-07-21T20:31:44.000+0000
2020-06-30T10:49:55Z,61dcfc8824092a0f1b07acb4ffe9998e7cf8ca09,SYNCOPE-1573,2020-06-30T11:11:42.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-06-30T10:41:20.000+0000
2020-06-11T05:34:16Z,0da7a8371371a2beef832c70d1b784c2d02a430e,SYNCOPE-1569,2020-06-11T06:17:16.000+0000,[2.1.6],[2.1.7  3.0.0],2020-06-11T05:31:47.000+0000
2020-05-20T08:55:13Z,dbde3de847c52a7d6abfb62fa96ce8358afc2f4c,SYNCOPE-1567,2020-05-20T08:59:34.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-05-19T20:12:25.000+0000
2020-06-04T13:48:11Z,ae9f6c8cfd6603d34860811833b6b043b3143f46,SYNCOPE-1565,2020-06-04T13:49:00.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-05-18T11:57:05.000+0000
2020-05-19T13:20:39Z,d08d0a69e14cc890712745dc2d57c23fd3c91618,SYNCOPE-1564,2020-05-19T13:25:30.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-05-18T11:55:35.000+0000
2020-05-15T12:23:03Z,edae2ad4de71fe5570f46abc089af34ef824a8b3,SYNCOPE-1563,2020-05-15T12:25:55.000+0000,[2.1.6],[2.1.7  3.0.0],2020-05-15T08:30:16.000+0000
2020-05-13T07:44:52Z,ec10c7b4249515faee7614c8affe4c60f1cf08fb,SYNCOPE-1561,2020-05-13T07:45:50.000+0000,[2.1.6],[2.1.7  3.0.0],2020-05-13T07:42:40.000+0000
2020-05-19T14:05:45Z,813625713812587eb683205cc8e5d036ccda08ff,SYNCOPE-1560,2020-05-12T09:36:46.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-05-12T09:06:18.000+0000
2020-05-18T09:57:04Z,02824d269ad4674873513d58b270e8cdb473c739,SYNCOPE-1560,2020-05-12T09:36:46.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-05-12T09:06:18.000+0000
2020-05-14T07:40:31Z,bd0c0d5c280b9582059c76fce283971006d4f8af,SYNCOPE-1560,2020-05-12T09:36:46.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-05-12T09:06:18.000+0000
2020-05-12T10:14:50Z,96af0e3a3225ea8b56331ae2538809674ed06f4c,SYNCOPE-1560,2020-05-12T09:36:46.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-05-12T09:06:18.000+0000
2020-05-12T09:35:58Z,fe4721bc2e76d127bfecc1ba299007b55ab2ef5e,SYNCOPE-1560,2020-05-12T09:36:46.000+0000,[2.0.15  2.1.6],[2.0.16  2.1.7  3.0.0],2020-05-12T09:06:18.000+0000
2020-04-23T09:22:09Z,8ca124a5ab6b3e289eeed926066a365f33257648,SYNCOPE-1554,2020-04-23T09:24:07.000+0000,[2.1.5],[2.1.6  3.0.0],2020-04-17T07:08:29.000+0000
2020-03-06T16:54:06Z,475e5f924c60509436eb4a74aef1849ded791436,SYNCOPE-1546,2020-03-06T16:55:47.000+0000,[2.0.14  2.1.5],[2.1.6  3.0.0],2020-03-06T12:26:00.000+0000
2020-02-26T16:20:25Z,2ac89d97b64026ac656bd84e63e287c1812b7afc,SYNCOPE-1544,2020-02-26T13:06:41.000+0000,[2.1.5],[2.1.6  3.0.0],2020-02-20T15:37:14.000+0000
2020-02-24T13:24:43Z,c9b2ec1eac71ff88a50a81553167418060ff0c31,SYNCOPE-1544,2020-02-26T13:06:41.000+0000,[2.1.5],[2.1.6  3.0.0],2020-02-20T15:37:14.000+0000
2020-03-23T15:07:19Z,5ff01723c59a429dd7c761138505dd312e08cb58,SYNCOPE-1542,2020-03-17T17:11:42.000+0000,[2.1.5],[2.1.6  3.0.0],2020-02-13T10:55:33.000+0000
2020-02-14T07:40:05Z,f057013572f20bccc9732aa0bdb4ca737bb6c55b,SYNCOPE-1542,2020-03-17T17:11:42.000+0000,[2.1.5],[2.1.6  3.0.0],2020-02-13T10:55:33.000+0000
2020-02-13T11:37:13Z,0c1891200ef2c07597fee7986e160e0f5daceee0,SYNCOPE-1542,2020-03-17T17:11:42.000+0000,[2.1.5],[2.1.6  3.0.0],2020-02-13T10:55:33.000+0000
2020-02-04T09:21:55Z,342d0b583da7298298419d87cef60589ada2bc1c,SYNCOPE-1539,2020-02-04T09:26:11.000+0000,[2.0.14  2.1.5],[2.0.15  2.1.6  3.0.0],2020-02-03T16:22:51.000+0000
2020-02-07T09:58:56Z,15838a962ac6814bf392ba86b50f73b2d426ae29,SYNCOPE-1538,2020-02-20T13:17:10.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-31T15:03:04.000+0000
2020-02-06T11:22:19Z,b0b8f8b8fb5047d3d4de2d71f4d6cd266e9fe5d8,SYNCOPE-1538,2020-02-20T13:17:10.000+0000,[2.1.5],[2.1.6  3.0.0],2020-01-31T15:03:04.000+0000
